model,prompt_name,probe_seed,phase_margin,phi_min,predicted_regime,purity_period_2,purity_p_value_2,period_2_regime,purity_period_3,autocorr_regime,autocorr_period_score,autocorr_period_lag,final_variance,growth_rate,elapsed_certify_s,elapsed_ground_truth_s,predicted_oscillatory,observed_oscillatory,predicted_contractive,observed_contractive,error,artefact_dir,phi_v[verbosity],phi_v[formality],phi_v[abstraction],phi_v[sentiment]
qwen2.5:7b,factual,0,0.710353,0.710353,contractive,1.815022,0,oscillatory,0.942267,unknown,0.745173,4,0.142648,-0.00453528,74.2,6.4,0,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__factual__seed0,0.710353,3.046301,2.344938,2.483016
qwen2.5:7b,factual,1,0.710353,0.710353,contractive,2.491783,0,oscillatory,0.941357,unknown,0.819368,2,0.0631101,-0.011197,73.9,7.3,0,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__factual__seed1,0.710353,3.046301,2.344938,2.483016
qwen2.5:7b,emotional,0,0.000000,0.000000,oscillatory,1.060602,0,unknown,0.981814,unknown,0.398791,2,0.173877,-0.000947312,84.8,11.4,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__emotional__seed0,0.000000,2.371294,2.446417,2.602284
qwen2.5:7b,emotional,1,0.000000,0.000000,oscillatory,0.989135,0.802,unknown,0.987406,unknown,0.396318,2,0.387531,0.00502304,85.0,9.0,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__emotional__seed1,0.000000,2.371294,2.446417,2.602284
qwen2.5:7b,technical,0,0.000000,0.000000,oscillatory,2.458242,0,oscillatory,0.948741,unknown,0.673998,4,0.0201746,-0.0139212,89.4,9.5,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__technical__seed0,0.040286,0.000000,2.189717,2.665937
qwen2.5:7b,technical,1,0.000000,0.000000,oscillatory,2.247230,0,oscillatory,0.948858,unknown,0.630393,2,0.0149522,-0.0210514,89.8,9.1,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_7b__technical__seed1,0.040286,0.000000,2.189717,2.665937
qwen2.5:14b,factual,0,0.000000,0.000000,oscillatory,15.845976,0,oscillatory,0.934664,oscillatory,0.968048,2,0.0817328,-0.00146264,109.2,8.8,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__factual__seed0,0.000000,1.032779,2.754942,2.818709
qwen2.5:14b,factual,1,0.000000,0.000000,oscillatory,2.126802,0,oscillatory,0.933595,oscillatory,0.965500,4,0.117044,-0.000674972,95.0,8.8,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__factual__seed1,0.000000,1.032779,2.754942,2.818709
qwen2.5:14b,emotional,0,0.626156,0.626156,contractive,2.174007,0,oscillatory,0.946807,unknown,0.764374,2,0.112725,-0.00614628,111.8,12.2,0,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__emotional__seed0,0.626156,1.927136,2.367647,2.044248
qwen2.5:14b,emotional,1,0.626156,0.626156,contractive,1.187758,0,oscillatory,1.103672,unknown,0.555264,6,0.131402,-0.0116382,111.7,10.2,0,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__emotional__seed1,0.626156,1.927136,2.367647,2.044248
qwen2.5:14b,technical,0,0.000000,0.000000,oscillatory,3.037407,0,oscillatory,0.944121,unknown,0.787546,2,0.0170282,-0.0153538,119.2,12.8,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__technical__seed0,0.248786,0.000000,2.757637,2.357306
qwen2.5:14b,technical,1,0.000000,0.000000,oscillatory,7.794149,0,oscillatory,0.940225,unknown,0.842216,2,0.0185805,-0.00654886,118.9,13.0,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/qwen2.5_14b__technical__seed1,0.248786,0.000000,2.757637,2.357306
llama3.1:70b-instruct-q4_K_M,factual,0,1.704346,1.704346,contractive,1.338921,0,oscillatory,0.964632,unknown,0.560915,2,0.202736,-0.0103746,2062.5,196.0,0,1,1,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__factual__seed0,1.704346,2.257544,2.508574,3.141593
llama3.1:70b-instruct-q4_K_M,factual,1,0.025644,0.025644,oscillatory,1.010135,0.122,unknown,0.979351,unknown,0.455757,2,0.454731,0.00683446,2040.7,197.5,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__factual__seed1,0.025644,2.507068,2.691623,3.141593
llama3.1:70b-instruct-q4_K_M,emotional,0,0.000000,0.000000,oscillatory,1.338660,0,oscillatory,0.975961,unknown,0.564422,2,0.306096,-0.00246563,2301.8,212.9,1,1,0,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__emotional__seed0,0.988012,0.000000,2.686720,2.272894
llama3.1:70b-instruct-q4_K_M,emotional,1,0.000000,0.000000,oscillatory,1.046689,0.006,unknown,0.985299,unknown,0.391344,2,0.226984,-0.0129482,2304.9,220.6,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__emotional__seed1,0.000000,0.000000,2.568193,2.251697
llama3.1:70b-instruct-q4_K_M,technical,0,0.000000,0.000000,oscillatory,1.081546,0,unknown,0.984130,unknown,0.369895,2,0.114576,-0.00255867,2274.9,222.6,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__technical__seed0,0.000000,2.142478,2.726703,2.630939
llama3.1:70b-instruct-q4_K_M,technical,1,0.000000,0.000000,oscillatory,1.020701,0.064,unknown,0.968927,unknown,0.512309,2,0.339679,-0.00448125,2298.6,188.4,1,0,0,0,,results/experiment_20260428_203207_full_v1/raw/llama3.1_70b-instruct-q4_K_M__technical__seed1,0.000000,3.141593,2.709349,2.131359
